name,club,birth_date,age,place_of_birth,citizenship,appointment_date,contract_until_date,coaching_licence,avg_term_as_coach,preffered_formation,current_league,current_league_country
Stefano Colantuono,Salernitana,1962-10-23,59.0,Roma,Italy,2021-10-17,2022-06-30,UEFA Pro Licence,1.11 Years,4-3-1-2,Serie A,Italy
Massimiliano Allegri,Juventus,1967-08-11,54.0,Livorno,Italy,2021-05-28,2025-06-30,-,UEFA Pro Licence,1.46 Years,Serie A,Italy
Massimiliano Allegri,Juventus,1967-08-11,54.0,Livorno,Italy,2021-05-28,2025-06-30,-,UEFA Pro Licence,1.46 Years,Serie A,Italy
Carlo Ancelotti,Real Madrid,1959-06-10,62.0,Reggiolo,Italy,2021-07-01,2024-06-30,CAA Base Ltd,2.09 Years,4-3-3 Attacking,La Liga,Spain
Diego Simeone,Atlético Madrid,1970-04-28,51.0,San Nicolás,Argentina,2011-12-23,2024-06-30,UEFA Pro Licence,2.09 Years,4-4-2 double 6,La Liga,Spain
Ronald Koeman,Without Club,1963-03-21,58.0,Zaandam,Netherlands,,,Wasserman,1.65 Years,4-3-3 Attacking,La Liga,Spain
Julen Lopetegui,Sevilla FC,1966-09-28,55.0,Asteasu,Spain,2019-07-01,2024-06-30,UEFA Pro Licence,1.77 Years,4-3-3 Attacking,La Liga,Spain
Imanol Alguacil,Real Sociedad,1971-07-04,50.0,Orio,Spain,2018-12-27,2023-06-30,YOU FIRST SPORTS ,2.28 Years,4-2-3-1,La Liga,Spain
Unai Emery,Villarreal,1971-11-03,50.0,Hondarribia,Spain,2020-07-23,2023-06-30,AC Talent,2.03 Years,4-4-2 double 6,La Liga,Spain
Pepe Bordalás,Valencia,1964-03-05,57.0,Alicante,Spain,2021-07-01,2023-06-30,InterStarDeporte,1.57 Years,4-4-2,La Liga,Spain
Manuel Pellegrini,Real Betis,1953-09-16,68.0,Santiago,Chile,2020-08-01,2025-06-30,no agent,1.91 Years,4-2-3-1,La Liga,Spain
Marcelino,Athletic,1965-08-14,56.0,Careñes,Spain,2021-01-04,2022-06-30,Eugenio Botas ...,1.60 Years,4-4-2,La Liga,Spain
Quique Sánchez Flores,Getafe,1965-02-02,56.0,Madrid,Spain,2021-10-06,2022-06-30,Relatives,1.45 Years,5-3-2,La Liga,Spain
Eduardo Coudet,Celta de Vigo,1974-09-12,47.0,Buenos Aires,Argentina,2020-11-12,2024-06-30,Scorefutbol,1.29 Years,4-4-2 Diamond,La Liga,Spain
Vicente Moreno,Espanyol,1974-10-26,47.0,Massanassa,Spain,2020-08-04,2023-06-30,Promoesport,2.06 Years,4-2-3-1,La Liga,Spain
"Javier Pereira,Without Club,1966-05-13,55,Badajoz,Spain,NA,NA,""SOCCERMEDIA, S.L."",1.36 Years,5-3-2,La Liga,Spain",,,,,,,,,,,,
Jagoba Arrasate,CA Osasuna,1978-04-22,43.0,Berriatua,Spain,2018-07-01,2022-06-30,YOU FIRST SPORTS ,2.38 Years,4-4-2 double 6,La Liga,Spain
Robert Moreno,Granada CF,1977-09-19,44.0,Barcelona,Spain,2021-07-01,2023-06-30,Relatives,0.44 Years,4-3-3 Attacking,La Liga,Spain
Luis García,RCD Mallorca,1972-12-01,49.0,Madrid,Spain,2020-08-06,2022-06-30,1.32 Years,4-2-3-1,,La Liga,Spain
Javier Calleja,Without Club,1978-05-12,43.0,Madrid,Spain,,,AIS Management,1.15 Years,4-3-3 Attacking,La Liga,Spain
Andoni Iraola,Rayo Vallecano,1982-06-22,39.0,Usurbil,Spain,2020-08-06,2022-06-30,IDUB GLOBAL,1.03 Years,4-2-3-1,La Liga,Spain
Álvaro Cervera,Cádiz CF,1965-09-20,56.0,Santa Isabel,Spain,2016-04-18,2024-06-30,YOU FIRST SPORTS ,1.18 Years,4-4-2 double 6,La Liga,Spain
Fran Escribá,Without Club,1965-05-03,56.0,Valencia,Spain,,,Licence trainer,1.22 Years,4-4-2,La Liga,Spain
Mauricio Pochettino,Paris SG,1972-03-02,49.0,Murphy,Argentina,2021-01-02,2023-06-30,no agent,2.93 Years,4-3-3 Attacking,Ligue 1,France
Niko Kovac,Without Club,1971-10-15,50.0,Berlin,Croatia,,,Alen Augustincic,1.58 Years,4-4-2 double 6,Ligue 1,France
Peter Bosz,Olympique Lyon,1963-11-21,58.0,Apeldoorn,Netherlands,2021-05-29,2023-06-30,ISM Int. Soccer ...,1.52 Years,4-2-3-1,Ligue 1,France
Jocelyn Gourvennec,LOSC Lille,1972-03-22,49.0,Brest,France,2021-07-05,2023-06-30,UEFA Pro Licence,2.12 Years,4-4-2 double 6,Ligue 1,France
Jorge Sampaoli,Marseille,1960-03-13,61.0,Casilda,Argentina,2021-03-08,2023-06-30,Football Italia,1.22 Years,4-2-3-1,Ligue 1,France
Christophe Galtier,OGC Nice,1966-08-28,55.0,Marseille,France,2021-07-01,2024-06-30,score agencies,3.86 Years,4-4-2 double 6,Ligue 1,France
Bruno Génésio,Stade Rennais,1966-09-01,55.0,Lyon,France,2021-03-04,2023-06-30,Pini Zahavi,1.75 Years,4-3-3 Attacking,Ligue 1,France
Vladimir Petkovic,G. Bordeaux,1963-08-15,58.0,Sarajevo,Switzerland,2021-07-28,2024-06-30,UEFA Pro Licence,2.35 Years,3-4-1-2,Ligue 1,France
Frédéric Antonetti,FC Metz,1961-08-19,60.0,Venzolasca,France,2020-10-13,2024-06-30,SAS ASSIST & GOAL,2.50 Years,3-4-1-2,Ligue 1,France
Óscar García,Stade Reims,1973-04-26,48.0,Sabadell,Spain,2021-06-23,2024-06-30,Wasserman,0.79 Years,4-3-3 Attacking,Ligue 1,France
Olivier Dall'Oglio,Montpellier,1964-05-16,57.0,Alès,France,2021-06-01,2024-06-30,UEFA Pro Licence,2.20 Years,4-2-3-1,Ligue 1,France
Franck Haise,Lens,1971-04-15,50.0,Mont-Saint-Aignan,France,2020-02-25,2023-06-30,Carmenta,2.26 Years,3-4-1-2,Ligue 1,France
Antoine Kombouaré,FC Nantes,1963-11-16,58.0,Nouméa,France,2021-02-11,2023-06-30,UEFA Pro Licence,1.93 Years,4-2-3-1,Ligue 1,France
Julien Stéphan,R. Strasbourg,1980-09-18,41.0,Rennes,France,2021-05-28,2024-06-30,UEFA Pro Licence,2.21 Years,4-3-3 Attacking,Ligue 1,France
Michel Der Zakarian,Stade Brestois,1963-02-18,58.0,Jerewan,Armenia,2021-06-22,2023-06-30,CAA Base Ltd,1.91 Years,4-2-3-1,Ligue 1,France
Gérald Baticle,SCO Angers,1969-09-10,52.0,Amiens,France,2021-05-27,2025-06-30,UEFA Pro Licence,1.39 Years,3-4-1-2,Ligue 1,France
Christophe Pélissier,FC Lorient,1965-10-05,56.0,Revel,France,2019-05-29,2024-06-30,CLK FOOT,3.81 Years,4-2-3-1,Ligue 1,France
Laurent Batlles,Without Club,1975-09-23,46.0,Nantes,France,,,UEFA Pro Licence,2.17 Years,3-5-2 flat,Ligue 1,France
Pascal Gastien,Clermont Foot,1963-12-02,58.0,Rochefort,France,2017-09-01,2023-06-30,Louis DENOLLE,4.06 Years,4-2-3-1,Ligue 1,France
Claude Puel,Without Club,1961-09-02,60.0,Castres,France,,,-,2.63 Years,4-2-3-1,Ligue 1,France
Julian Nagelsmann,FC Bayern ,1987-07-23,34.0,Landsberg am Lech,Germany,2021-07-01,2026-06-30,Sports360 GmbH,2.00 Years,3-4-2-1,Bundesliga,Germany
Marco Rose,Bor. Dortmund,1976-09-11,45.0,Leipzig,Germany,2021-07-01,2024-06-30,UEFA Pro Licence,1.50 Years,4-2-3-1,Bundesliga,Germany
